ebMEDsi loendis olev kood;RHK-10 eestikeelne nimetus
L90.1;Schweningeri-Buzzi lõtvnahksus e anetodermia
L90.2;Jadassohni-Pellizzari lõtvnahksus e anetodermia
L90.3;Pasini ja Pierini nahaatroofia e atrofodermia
L90.4;Krooniline atrofeeruv jäsemenahapõletik e akrodermatiit
L91.0;Keloidarm
L92.0;Rõngasgranuloom
L92.1;Mujal klassifitseerimata lipoidnekrobioos
L92.2;Näogranuloom [naha eosinofiilgranuloom]
L92.8;Naha ja nahaluskoe muud granuloomhaigusseisundid
L92.9;Naha ja nahaluskoe täpsustamata granuloomhaigusseisund
L93;Erütematoosluupus e punane söötraig
L94;Muud paiksed sidekoehaigused
L95;Nahaga piirduv mujal klassifitseerimata vaskuliit e soonepõletik
L97;Mujal klassifitseerimata alajäsemehaavand
L98.3;Eosinofiilne tselluliit [Wells]
L98.4;Mujal klassifitseerimata krooniline nahahaavand
L98.8;Naha ja nahaaluskoe muud täpsustatud haigusseisundid
L99.0;Naha amüloidoos
M01.1;Tuberkuloosne artriit
M01.2;Artriit Lyme'i tõve korral
M02;Reaktiivsed artropaatiad
M03;Postinfektsioossed e nakkusejärgsed ja reaktiivsed artropaatiad mujal klassifitseeritud haiguste korral
M05;Seropositiivne reumatoidartriit
M06;Muud reumatoidartriidid
M07;Psoriaatilised ja enteropaatilised artropaatiad
M08;Juveniilne e noorteartriit
M09;Juveniilne artriit mujal klassifitseeritud haiguste korral
M10;Podagra
M11;Muud kristallartropaatiad
M12;Muud spetsiifilised artropaatiad
M13;Muud artriidid
M14;Artropaatiad muude mujal klassifitseeritud haiguste korral
M15;Polüartroos
M16;Koksartroos e puusaliigese artroos
M17;Gonartroos e põlveliigese artroos
M18;Esimese karpometakarpaal- e randme-kämblaliigese artroos
M19;Muud artroosid
M20.1;Väljapöörd-suurvarvas (omandatud)
M20.2;Kangestunud suurvarvas
M21.7;Ebavõrdne jäsemete pikkus (omandatud)
M22.0;Põlvekedra korduv nihestus
M22.1;Põlvekedra korduv subluksatsioon
M22.4;Põlvekedra kondromalaatsia
M23;Põlveliigese sisemised kahjustused
M24.0;Liigesehiir
M24.2;Sidemete e ligamentide haigusseisundid
M24.3;Liigese mujal klassifitseerimata patoloogiline nihestus ja subluksatsioon
M24.4;Liigese korduv nihestus ja subluksatsioon
M24.5;Liigese kokkutõmbumine e kontraktuur
M24.6;Liigese jäikus e anküloos
M24.7;Sissesurutud (ettesurutud) puusanapp
M25.4;Vedelikliiges
M30;Nodoosne e sõlmjas polüarteriit ja sellesarnased haigusseisundid
M31;Muud nekrotiseerivad vaskulopaatiad e soonhaigustused
M32;Süsteemne erütematoosluupus e -söötraig
M33;Dermatopolümüosiit e naha-hulgilihasepõletik
M34;Süsteemne skleroos
M35;Sidekoe muu süsteemne kahjustus
M36;Süsteemsed sidekoe haigusseisundid mujal klassifitseeritud haiguste korral
M41;Skolioos e vildakselgsus
M42;Spinaal- e lülisamba osteokondroos
M43;Muud deformeerivad dorsopaatiad
M45;Anküloseeriv e liigesejäikuslik lülipõletik e spondüliit
M46;Muud põletikulised spondülopaatiad
M47;Spondüloos e lülijäikus
M48;Muud spondülopaatiad
M49.0;Lülisambatuberkuloos
M49.1;Brutselloosne spondüliit
M49.5;Korditunud lüli mujal klassifitseeritud haiguste korral
M50;Tservikaaldiskide e kaela lülivaheketaste haigusseisundid
M51;Muude lülivaheketaste haigusseisundid
M53.1;Tservikobrahhiaalne sündroom
M54.1;Radikulopaatia
M54.3;Istmikunärvipõletik e ishias
M60.1;Interstitsiaalne müosiit
M60.8;Muu müosiit
M61;Lihase kaltsifikatsioon ja ossifikatsioon e lihaselubjastus ning -luustus
M61.2;Halvatuslik lihaselubjastus ja luustus
M61.3;Põletushaavadega seonduv lihaste lubjastus ja luustus
M61.4;Muu lihaselubjastus
M61.5;Muu lihaseluustus e ossifikatsioon
M61.9;Täpsustamata lihaselubjastus ja -luustus
M62.4;Lihase kontraktuur
M62.5;Lihase mujal klassifitseerimata kõhnumine ja atroofia
M63.3;Lihasepõletik sarkoidoosi korral
M65.2;Lubjastuv kõõlusepõletik e kaltsifitseeriv tendiniit
M66.0;Põlveõndla tsüsti rebend
M66.3;Painutajalihaste kõõluste spontaanne rebend
M66.5;Täpsustamata kõõluse spontaanne rebend
M71.2;Põlveõndla limapaunatsüst [Baker]
M71.4;Kaltsiumiladestus limapaunas
M72.0;Peopesa sidekirme fibromatoos [Dupuytreni kontraktuur]
M72.3;Sõlmjas sidekirmepõletik e nodoosne fastsiit
M72.4;Pseudosarkomatoosne fibromatoos
M73.1;Süfiliitiline limapaunapõletik e bursiit
M75.0;Õla liiteline liigesekihnupõletik e adhesiivne kapsuliit
M75.3;Õla lubjastuv kõõlusepõletik
M75.4;Õlanuki kiildumise sündroom {impingement syndrome of shoulder}
M79.0;Täpsustamata reuma
M79.2;Täpsustamata närvivalu e neuralgia ja närvipõletik e neuriit
M80;Patoloogilise murruga osteoporoos e luu-urbnemus
M81;Patoloogilise murruta osteoporoos
M82;Osteoporoos mujal klassifitseeritud haiguste korral
M83;Täiskasvanu osteomalaatsia e luupehmestus
M84.0;Murru väärkokkukasve
M84.4;Mujal klassifitseerimata patoloogiline murd
M85.0;(Ühe luu) fibroosne düsplaasia
M85.1;Luustiku fluoroos
M85.2;Kolju liigluustumus e hüperostoos
M85.3;Ladestusluupõletik
M85.4;Üksik luutsüst
M85.5;Luu aneurüsmtsüst
M85.6;Muu luutsüst
M86.3;Krooniline hulgikoldeline osteomüeliit
M86.4;Krooniline osteomüeliit äravoolu-uurisega
M86.6;Muu krooniline osteomüeliit
M87;Osteonekroos e luukärbus
M88;Luu Pageti tõbi e deformeeriv e moonutav osteiit e luupõletik
M89.0;Algoneurodüstroofia
M89.1;Epifüüsi kasvupeetus
M89.3;Luu hüpertroofia
M89.4;Muud hüpertroofilised osteoartropaatiad
M89.5;Osteolüüs
M89.6;Poliomüeliidijärgne osteopaatia
M89.80;Muud täpsustatud luu haigusseisundid. Hulgipaikmed
M90.0;Luutuberkuloos
M90.3;Luukärbus e osteonekroos kessoontõve korral
M90.4;Hemoglobinopaatia põhjustatud luukärbus
M90.5;Osteonekroos muude mujal klassifitseeritud haiguste korral
M90.6;Moonutav luupõletik kasvaja korral
M90.7;Luumurd kasvaja korral
M91;Puusa- ja põlveliigese juveniilne e noorte osteokondroos e luu-kõhrepõletik
M92;Muud juveniilsed osteokondroosid
M93.0;Reieluu ülemise epifüüsi (mittetraumaatiline) nihe
M93.1;Täiskasvanute Kienböcki tõbi
M93.2;Lõhustav osteokondriit
M93.8;Muud täpsustatud osteokondropaatiad
M94.1;Taastuv polükondriit
M96.0;Pseudartroos e ebaliiges pärast liitmist või artrodeesi
M96.1;Mujal klassifitseerimata laminektoomiajärgne sündroom
M96.6;Ortopeedilise implantaadi, liigeseproteesi või luuplaadi sisestamise järgne uumurd
M96.8;Muud menetlusjärgsed lihasluukonna haigusseisundid
M99.0;Segmentaarne ja somaatiline düsfunktsioon
M99.1;(Lülisambalüli) subluksatsioonikompleks
M99.2;Subluksatsiooni põhjustatud lülisambakanali ahend
M99.3;Lülisambakanali luuline ahend
M99.4;Lülisambakanali sidekoeline ahend
M99.5;Lülivaheketta põhjustatud lülisambakanali ahend
M99.6;Lülivahemulkude luuline ja subluksatsiooniga seotud ahend
M99.7;Lülivahemulkude sidekoeline ja lülivaheketta põhjustatud ahend
N00;Äge nefriidi- e neerupõletikusündroom
N01;Kiirelt progresseeruv nefriidisündroom
N02;Rekurrentne e taastuv ja persistentne e püsiv hematuuria e verikusesus
N03;Krooniline nefriidisündroom
N04;Nefroosisündroom
N05;Täpsustamata nefriidisündroom
N06;Isoleeritud proteinuuria e valkkusesus täpsustatud morfoloogilise kahjustusega
N07;Mujal klassifitseerimata hereditaarne e pärilik nefropaatia
N08;Glomeerulite haigusseisundid mujal klassifitseeritud haiguste korral
N11;Krooniline tubulointerstitsiaalnefriit
N13;Obstruktiiv- ja refluksuropaatia
N14;Ravimite ja raskmetallisoolade põhjustatud tubulointerstitsiaal- ja tubulaarhaigusseisundid
N15.0;Balkani nefropaatia
N15.8;Muud täpsustatud tubulointerstitsiaalhaigused
N16.1;Neeru tubulointerstitsiaal-haigusseisundid kasvajaliste haiguste korral
N16.2;Neeru tubulointerstitsiaal-haigusseisundid verehaiguste ja immuunmehhanisme haaravate haigusseisundite korral
N16.3;Neeru tubulointerstitsiaal-haigusseisundid ainevanetushaiguste korral
N16.4;Neeru tubulointerstitsiaal-haigusseisundid süsteemsete sidekoe haigusseisundite korral
N16.5;Neeru tubulointerstitsiaal-haigusseisundid siiriku hülgamise korral
N16.8;Neeru tubulointerstitsiaal-haigusseisundid muude mujal klassifitseeritud haiguste korral
N18;Krooniline neeruinsufitsients
N19;Täpsustamata neeruinsufitsients
N20;Neeru- ja ureeteri- e kusejuhakivi
N21;Alumiste kuseteede kivi
N22;Kusekivi mujal klassifitseeritud haiguste korral
N25;Neeru tubulaarfunktsiooni kahjustusest tulenevad haigusseisundid
N26;Täpsustamata kortsneer
N27.1;Kahepoolne pisineer
N28;Neeru ja ureeteri mujal klassifitseerimata muud haigusseisundid
N29;Neeru ja ureeteri e kusejuha muud haigusseisundid mujal klassifitseeritud haiguste korral
N30.1;Interstitsiaalne (krooniline) tsüstiit
N30.2;Muu krooniline tsüstiit
N31;Mujal klassifitseerimata kusepõie neuromuskulaarne düsfunktsioon e talitlushäire
N32;Kusepõie muud haigusseisundid
N33.0;Tuberkuloosne tsüstiit
N35;Uretraalstriktuur e kusitiahend
N36;Kusiti muud haigusseisundid
N39.1;Püsiv täpsustamata proteinuuria e valkkusesus
N39.2;Täpsustamata ortostaatiline proteinuuria
N39.3;Stress-kusepidamatus
N39.4;Muu täpsustatud kusepidamatus
N40;Prostatahüperplaasia e eesnäärmesuurenemus
N41.1;Krooniline prostatiit
N42.0;Eesnäärmekivi
N43;Hüdrotseele e vesisong ja spermatotseele e seemesong
N45.9;Munandipõletik, munandimanusepõletik ja epididümo-orhiit abstsessita
N46;Meheinfertiilsus e -sigimatus
N48.0;Suguti leukoplaakia e valgelaiksus
N48.4;Orgaaniline impotentsus
N48.6;Oblitereeruv kserootiline lukipõletik
N50.0;Munandiatroofia
N60;Rinna healoomuline düsplaasia e väärmoodustis
N62;Rinna hüpertroofia
N70;Salpingiit e munajuhapõletik ja ooforiit e munasarjapõletik
N71.1;Emaka krooniline põletikuline haigus
N72;Emakakaela põletikuline haigus
N73.1;Krooniline parametriit ja vaagnatselluliit
N73.3;Naise vaagnapiirkonna äge peritoniit e kõhukelmepõletik
N73.4;Naise vaagnapiirkonna krooniline peritoniit
N73.5;Naise vaagnapiirkonna täpsustamata peritoniit
N73.9;Naise vaagnapiirkonna täpsustamata põletikuline haigus
N74.0;Emakakaela tuberkuloosne nakkus
N74.1;Naise vaagnapiirkona tuberkuloosne põletikuline haigus
N74.2;Naise vaagnapiirkonna süfiliitiline põletikuline haigus
N74.4;Naise vaagnapiirkonna klamüüdiatekkene põletikuline haigus
N76.1;Alaäge ja krooniline vaginiit e tupepõletik
N76.3;Alaäge ja krooniline vulviit
N80;Endometrioos
N81;Naissuguelundite prolaps e väljalange
N82;Naissuguelunditega seotud fistulid e uurised
N84;Naissuguelundite polüüp
N85.0;Endomeetriumi näärmeline hüperplaasia
N85.1;Endomeetriumi adenomatooshüperplaasia
N85.2;Emakahüpertroofia
N87;Emakakaela düsplaasia
N88.0;Emakakaela leukoplaakia
N89.0;Kerge tupedüsplaasia
N89.1;Mõõdukas tupedüsplaasia
N89.2;Mujal klassifitseerimata raske tupedüsplaasia
N89.3;Täpsustamata tupedüsplaasia
N89.4;Tupe leukoplaakia
N90.0;Kerge häbemedüsplaasia
N90.1;Mõõdukas häbemedüsplaasia
N90.3;Täpsustamata häbemedüsplaasia
N90.4;Häbeme leukoplaakia
N90.5;Häbemeatroofia
N91.0;Primaarne amenorröa e menstruatsioonipuudus
N96;Habituaalne e harjumuslik raseduse katkestaja
N99.0;Menetlusjärgne neerupuudulikkus
N99.1;Menetlusjärgne kusitiahend
N99.3;Hüsterektoomia- e emakaeemaldusjärgne tupevõlvi väljalange
O10;Rasedust, sünnitust või sünnitusjärgset perioodi tüsistav eelnev hüpertensioon
O11;Eelnev hüpertensiivne häire lisandunud proteinuuriaga e ladestustoksikoos
O12;Hüpertensioonita rasedusturse ja proteinuuria
O13;Olulise proteinuuriata rasedushüpertensioon
O14;Olulise proteinuuriaga rasedushüpertensioon
O15;Eklampsia e kramptõbi
O16;Ema täpsustamata hüpertensioon
O22.3;Rasedusaegne süva flebotromboos e veenitromboos
O22.5;Rasedusaegne peaajuveeni tromboos
O24;Rasedusaegne melliitdiabeet e suhkurtõbi
O26.6;Maksa haigusseisundid raseduse, sünnitamise ja sünnitusjärgse perioodi ajal
O26.8;Muud täpsustatud raseduspuhused seisundid
O70.0;Sünnitusaegne esimese astme lahkliharebend
O70.1;Sünnitusaegne teise astme lahkliharebend
O70.2;Sünnitusaegne kolmanda astme lahkliharebend
O70.3;Sünnitusaegne neljanda astme lahkliharebend
O70.9;Sünnitusaegne täpsustamata lahkliharebend
O80;Iseeneslik e spontaanne üksiksünnitus
O81;Vaakumekstraktsioon-ja tangüksiksünnitus
O82;Keisrilõikega üksiksünnitus
O83;Muul viisil abistatud üksiksünnitus
O84;Mitmiksünnitus
O87.1;Süva flebotromboos sünnitusjärgses perioodis
O87.3;Peaaju veenitromboos sünnitusjärgses perioodis
O88.2;Sünnitusabiga seotud trombemboolia
O90.3;Sünnitusjärgse perioodi kardiomüopaatia
O90.4;Sünnitusjärgne äge neerupuudulikkus
O90.5;Sünnitusjärgne tür[e]oidiit e kilpnäärmepõletik
O98.0;Rasedust, sünnitust ja sünnitusjärgset perioodi tüsistav tuberkuloos
O98.1;Rasedust, sünnitust ja sünnitusjärgset perioodi tüsistav süüfilis
P07;Mujal klassifitseerimata lühiaegse raseduse ja madala sünnikaaluga seotud haigusseisundid
P21.0;Raske sünniasfüksia
P22.0;Vastsündinu respiratoorse distressi sündroom
P35.0;Kaasasündinud punetistesündroom
P35.1;Kaasasündinud tsütomegaloviirusnakkus
P35.2;Kaasasündinud herpesviirusnakkus [herpes simplex]
P35.3;Kaasasündinud viirushepatiit
P37.0;Kaasasündinud tuberkuloos
P37.1;Kaasasündinud toksoplasmoos
P57;Tuumakollatõbi e kernikterus
P75;Mekooniumiileus e esmasrooja-soolesulgus
P91.0;Vastsündinu peaajuisheemia
P96.0;Kaasasündinud neerupuudulikkus
Q00;Anentsefaalia e peaajutus ja selletaolised väärarendid
Q01;Entsefalotseele e ajusong
Q02;Mikrotsefaalia e pisipeasus
Q03;Kaasasündinud hüdrotsefaalia e vesipea
Q04;Peaaju muud kaasasündinud väärarendid
Q05;Spina bifida e lülisambalõhestus
Q06;Seljaaju muud kaasasündinud väärarendid
Q07;Närvisüsteemi muud kaasasündinud väärarendid
Q11;Anoftalmia e silmatus, mikroftalmia e pisisilmsus ja makroftalmia e suursilmsus
Q12;Läätse kaasasündinud väärarendid
Q13;Silma eessegmendi kaasasündinud väärarendid
Q14;Silma tagasegmendi kaasasündinud väärarendid
Q15;Silma muud kaasasündinud väärarendid
Q16;Kuulmispuuet põhjustavad kõrva kaasasündinud väärarendid
Q18.0;Lõpuspilu urge e siinus, uuris ja tsüst
Q18.1;Preaurikulaarne urge ja tsüst
Q18.2;Lõpuspilu muud väärarendid
Q20;Südamekambrite ja nende ühenduste kaasasündinud väärarendid
Q21;Südamevaheseinte kaasasündinud väärarendid
Q22;Kopsuarteri- ja trikuspidaalklapi kaasasündinud väärarendid
Q23;Aordi- ja mitraalklapi kaasasündinud väärarendid
Q24;Südame muud kaasasündinud väärarendid
Q25;Suurte arterite kaasasündinud väärarendid
Q26;Suurte veenide kaasasündinud väärarendid
Q27.1;Neeruarteri kaasasündinud kitsenemus e stenoos
Q27.3;Perifeerne arteriovenoosne väärarend
Q28.0;Pretserebraal-veresoonte arteriovenoossed väärarendid
Q28.1;Pretserebraalsoonte muud väärarendid
Q28.2;Peaajuveresoonte arteriovenoosne väärarend
Q28.3;Peaajuveresoonte muud väärarendid
Q31.1;Kaasasündinud häälekõrialune kitsenemus e stenoos
Q31.2;Kõri vaegmoodustus e hüpoplaasia
Q31.4;Kaasasündinud kõrisisin e -striidor
Q32.0;Kaasasündinud hingetorupehmestus e trahheomalaatsia
Q32.1;Hingetoru muud kaasasündinud väärarendid
Q33.0;Kaasasündinud tsüstiline kops
Q33.8;Kopsu muud kaasasündinud väärarendid
Q34.1;Keskseinandi e mediastiinumi kaasasündinud tsüst
Q35;Suulaelõhestus e palatoskiis [hundikurk]
Q36;Huulelõhestus
Q37;Keilopalatoskiis e huule-suulaelõhestus
Q38.7;Neelusopistis e -divertiikul (lõpustasku)
Q39.2;Atreesiata kaasasündinud trahheo-ösofageaalne uuris e fistul
Q39.5;Kaasasündinud söögitorulaiend
Q39.6;Söögitorusopistis e -divertiikul
Q43.1;Hirschsprungi tõbi
Q44.6;Maksa tsüstiline haigus
Q45.3;Kõhunäärme ja kõhunäärmejuha muud kaasasündinud väärarendid
Q50.0;Munasarjade kaasasündinud puudumine
Q51.0;Emaka tekkimatus e ageneesia ja moodustumatus e aplaasia
Q51.1;Emaka kahekordistus koos emakakaela ja tupe kahekordistusega
Q51.2;Emaka muu kahekordistus
Q51.3;Kahesarveline emakas
Q52.0;Tupe kaasasündinud puudumine
Q52.1;Tupe kahekordistus
Q53;Krüptorhism e peitmunandilisus
Q54;Hüpospaadiad e kusitialtlahtisused
Q55.0;Munandi puudumine ja moodustumatus
Q55.1;Munandi ja munandikoti vaegmoodustus e hüpoplaasia
Q55.2;Munandi ja munandikoti muud kaasasündinud väärarendid
Q55.3;Seemnejuha avausetus e atreesia
Q56;Määratlemata sugu ja pseudohermafroditism
Q60;Neeruagenees e -tekkimatus ja muud neeru reduktsioondefektid e taandpuuded
Q61;Tsüstneer
Q62;Neeruvaagna kaasasündinud obstruktsioondefektid e sulguspuuded ning kusejuha kaasasündinud väärarendid
Q63;Neeru muud kaasasündinud väärarendid
Q64;Kuseelundite muud kaasasündinud väärarendid
Q65;Puusa kaasasündinud deformsused e moonutised
Q66;Jalgade kaasasündinud deformsused
Q67.5;Lülisamba kaasasündinud moonutis e deformsus
Q67.6;Pea, näo, lülisamba ning rindkere luude ja lihaste kaasasündinud deformsused. Õõnesrind
Q67.7;Pea, näo, lülisamba ning rindkere luude ja lihaste kaasasündinud deformsused. Andurrind
Q68.1;Käe kaasasündinud moonutised
Q68.2;Põlve kaasasündinud moonutis e deformsus
Q68.3;Kaasasündinud reieluukaardumine
Q68.4;Kaasasündinud sääre- ja pindluukaardumine
Q68.8;Lihasluukonna muud täpsustatud kaasasündinud deformsused
Q71;Ülajäseme reduktsioondefektid e taandpuuded
Q72;Alajäseme reduktsioondefektid
Q74;Jäseme(te) muud kaasasündinud väärarendid
Q75;Kolju- ja näoluude muud kaasasündinud väärarendid
Q76;Lülisamba ja rindkereluude kaasasündinud väärarendid
Q77;Osteokondrodüsplaasia toruluude ja lülisamba kasvupuuetega
Q78;Muud osteokondrodüsplaasiad
Q79.0;Kaasasündinud vahelihasesong
Q79.1;Vahelihase muud kaasasündinud väärarendid
Q79.6;Ehlersi-Danlosi sündroom
Q80;Kaasasündinud ihtüoos e kalanahksus e soomustõbi
Q81;Bulloosne epidermolüüs e põiendiline marraski-irdumus
Q82.0;Pärilik lümfödeem
Q82.1;Pigmentkseroderma
Q82.3;Pigmendipidamatus
Q82.4;Ektodermaalne (anhidrootiline) düsplaasia
Q82.8;Naha muud täpsustatud kaasasündinud väärarendid
Q84.0;Kaasasündinud juuksetus
Q85;Mujal klassifitseerimata fakomatoosid e läätsdüsplaasiad
Q86.0;Fetaalne alkoholsündroom (düsmorfne)
Q86.1;Fetaalne hüdantoiinsündroom
Q86.2;Warfariinitekkene düsmorfism
Q86.8;Teatud välistegurite põhjustatud muud kaasasündinud väärarendi sündroomid
Q87;Mitut elundkonda hõlmavad muud täpsustatud kaasasündinud väärarendi sündroomid
Q89.0;Põrna kaasasündinud väärarendid
Q89.1;Neerupealise kaasasündinud väärarendid
Q89.2;Muude sisesekretsiooninäärmete kaasasündinud väärarendid
Q89.3;Mujal klassifitseerimata muud kaasasündinud väärarendid. Äraspidine asetsus
Q90;Downi sündroom
Q91;Edwardsi sündroom ja Patau sündroom
Q92;Autosoomide mujal klassifitseerimata muud trisoomiad ja osalised trisoomiad
Q93;Mujal klassifitseerimata monosoomiad ja autosoomide deletsioon
Q95;Mujal klassifitseerimata tasakaalustatud rekombinatsioonid ja struktuurimarkerid
Q96;Turneri sündroom
Q97;Mujal klassifitseerimata naisfenotüübi muud sugukromosoomide anomaaliad
Q98;Mujal klassifitseerimata meesfenotüübi muud sugukromosoomide anomaaliad
Q99;Mujal klassifitseerimata muud kromosoomianomaaliad
R01;Südamekahinad ja muud südametoonide muutused
R15;Roojapidamatus
R16;Mujal klassifitseerimata hepatomegaalia e maksasuurenemus ja splenomegaalia e põrnasuurenemus
R17;Täpsustamata ikterus e kollatõbi
R18;Astsiit e vesikõht
R23.3;Spontaansed laikverevalumid
R25;Ebanormaalsed tahtmatud liigutused
R26;Kõnnaku ja liikuvuse ebanormaalsused
R27.0;Muud koordinatsioonipuuded. 
R29.2;Närvisüsteemi ning lihasluukonnaga seotud muud sümptomid ja tunnused. Ebanormaalne refleks
R31;Täpsustamata hematuuria e verikusesus
R32;Täpsustamata uriiniinkontinentsus e kusepidamatus
R33;Uriiniretentsioon e kusepeetus
R35;Polüuuria e liigkusesus
R39.1;Urineerimisega seotud muud raskused
R39.2;Ekstrarenaalne ureemia
R40;Somnolentsus e unisus, stuupor e kohmetus ja kooma e oimetus
R41.0;Täpsustamata orienteerumatus
R41.1;Häirejärgne mälukaotus e anterograadne amneesia
R41.2;Häire-eelne mälukaotus e retrograadne amneesia
R41.3;Muu mälukaotus
R42;Vertiigo e peapööritus
R43;Haistmis- ja maitsehäired
R44.0;Kuulmisviirastused e -hallutsinatsioonid
R44.1;Nägemishallutsinatsioonid
R44.2;Muud hallutsinatsioonid
R44.3;Täpsustamata hallutsinatsioonid
R47;Mujal klassifitseerimata kõnehäired
R48;Düsleksia e lugemispuue ja mujal klassifitseerimata muud sümbolitaju häired
R49.0;Häälepuue e düsfoonia
R49.1;Häälekadu e afoonia
R50.1;Püsipalavik
R52.1;Krooniline talumatu valu
R52.2;Muu krooniline valu
R52.9;Täpsustamata valu
R55;Sünkoop e süvaminestus ja kollaps e raugus
R56;Mujal klassifitseerimata konvulsioonid e vapluskrambid
R57.0;Mujal klassifitseerimata šokk e vapustus
R59;Lümfisõlmede suurenemus
R60;Mujal klassifitseerimata ödeem e turse
R62;Eeldatava füsioloogilise arengu peetus
R63.0;Isutus e anoreksia
R63.1;Liigjanusus
R63.2;Liigisusus, aplus
R63.4;Ebanormaalne kaalukaotus
R64;Kahheksia e kurtumus
R68.2;Täpsustamata suukuivus
R70;Punaliblede settekiiruse suurenemine ja vereplasma viskoossuse ebanormaalsused
R73.0;Hälbeline glükoositaluvuse kats
R74.0;Transaminaasi ja piimhappe dehüdrogenaasi taseme tõus
R74.8;Muude seerumiensüümide hälbelised tasemed
R75;Inimese immuunpuudulikkuse viiruse [HIV] laboratoorne tõestatus
R76.1;Tuberkuliinkatsu hälbeline reaktsioon
R80;Isoleeritud proteinuuria e valkkusesus
R81;Glükosuuria e suhkurkusesus
R82.7;Uriini mikrobioloogilise uuringu leidude hälbed
R91;Kopsude diagnostilise kuvamise leidude hälbed
R94.0;Kesknärvisüsteemi talitluse uuringuleidude hälbed
R94.1;Perifeerse närvisüsteemi ja meeleelundite talitluse uuringuleidude hälbed
R94.2;Kopsutalitluse uuringuleidude hälbed
R94.4;Neerutalitluse uuringuleidude hälbed
R94.5;Maksatalitluse uuringuleidude hälbed
R94.6;Kilpnäärmetalitluse uuringuleidude hälbed
S06;Koljusisene vigastus
S07;Lömastav peavigastus
S12;Kaelapiirkonna murd
S13;Kaelapiirkonna liigeste ja sidemete luksatsioon, distorsioon ja distensioon
S14;Kaelapiirkonna närvide ja seljaaju vigastus
S17;Lömastav kaelavigastus
S22.0;Torakaal- [rinna]lülimurd
S22.1;Lülisamba rinnaosa hulgimurd
S22.4;Roiete hulgimurd
S22.5;Laperrind
S23.1;Rinnalüli luksatsioon
S24;Rindkere-piirkonna närvide ja seljaaju vigastus
S25;Rindkere veresoonte vigastus
S26;Südamevigastus
S27.0;Traumaatiline pneumotooraks [õhkrind]
S27.1;Traumaatiline hemotooraks [verirind]
S27.2;Traumaatiline hemopneumotooraks [veriõhkrind]
S27.4;Bronhi vigastus
S27.5;Trahhea [hingetoru] rindkereosa vigastus
S28;Rindkere lömastav vigastus ja osaline traumaatiline amputatsioon
S32;Lülisamba nimmeosa ja vaagnamurd
S33.1;Nimmelüli luksatsioon [nihestus]
S33.2;Ristluu-niudeluu ja ristluu-õndraluu liigese luksatsioon
S33.3;Lülisamba nimmeosa ning vaagna muude ja täpsustamata osade luksatsioon
S33.4;Sümfüüsi [häbemeluudeliiduse] traumaruptuur
S34.0;Seljaaju nimmeosa konkussioon ja ödeem
S34.1;Seljaaju nimmeosa muud vigastused
S34.2;Lülisamba nimmeosa ja ristluu närvijuurte vigastus
S34.3;Hobusaba vigastus
S34.4;Nimme-ristluupõimiku vigastus
S35.0;Kõhuaordivigastus
S36.0;Põrnavigastus
S36.1;Maksa- või sapipõievigastus
S38;Kõhu, selja alaosa ja vaagna lömastav vigastus ning osaline traumaatiline amputatsioon
S42;Õlapiirkonna luude ja õlavarremurd
S43.0;Õlaliigese luksatsioon
S43.1;Rangluu-õlanuki liigese luksatsioon
S43.2;Rinnaku-rangluu liigese luksatsioon
S44;Õla- ja õlavarrepiirkonna närvide vigastused
S47;Lömastav õla- ja õlavarrevigastus
S48;Õla ja õlavarre traumaatiline amputatsioon
S52;Küünarvarremurd
S53.0;Kodarluupea luksatsioon [nihestus]
S53.1;Küünarliigese täpsustamata luksatsioon
S54;Küünarvarre-piirkonna närvide vigastused
S57;Lömastav küünarvarrevigastus
S58;Küünarvarre traumaatiline amputatsioon
S62.0;Käe lodiluu [skafoidluu] murd
S63.0;Randmeluksatsioon [-nihestus]
S64;Randme- ja käepiirkonna närvide vigastused
S67;Lömastav randme- ja käevigastus
S68;Randme ja käe traumaatiline amputatsioon
S72;Reieluumurd
S73;Puusaliigese ja -sidemete luksatsioon, distorsioon ja distensioon
S74;Puusa- ja reiepiirkonna närvide vigastused
S77;Lömastav puusa- ja reievigastus
S78;Puusa ja reie traumaatiline amputatsioon
S82;Sääremurd, sealhulgas peksemurd
S83.0;Patellaluksatsioon [põlvekedranihestus]
S83.1;Põlveluksatsioon
S83.2;Värske meniski- [võruketta]rebend
S83.5;"Põlve (eesmise; tagumise) ristatisideme distorsioon ja distensioon"
S84;Säärepiirkonna närvide vigastused
S87;Lömastav säärevigastus
S88;Sääre traumaatiline amputatsioon
S93.0;Kontsluu-sääre liigese luksatsioon
S94;Kanna- ja jalapiirkonna närvide vigastused
S97;Lömastavad kanna- ja jalavigastused
S98;Kanna ja jala traumaatiline amputatsioon
T02;Mitut kehapiirkonda haaravad luumurrud
T04;Mitut kehapiirkonda haaravad lömastavad vigastused
T05;Mitut kehapiirkonda haaravad traumaatilised amputatsioonid
T06;Mujal klassifitseerimata mitut kehapiirkonda haaravad muud vigastused
T07;Täpsustamata hulgivigastused
T08;Täpsustamata piirkonna lülisambamurd
T09.3;Täpsustamata piirkonna seljaajuvigastus
T09.4;Täpsustamata närvi-, seljaajunärvi juure ja närvipõimiku-vigastus kerepiirkonnas
T20.3;Pea ja kaela kolmanda järgu põletus
